Age,Mean_Height,SD_Height,Mean_Weight,SD_Weight,Median_BMI,SD_BMI
16.0,146.8,3.2526911934581046,39.45,5.444722215136416,18.375555531929088,3.340010493755565
17.0,152.21666666666667,4.815935557512963,48.02777777777778,7.198104779613914,20.346145037593654,2.5474455818107717
18.0,176.20942028985507,142.9927622524854,74.7536231884058,160.56496293570123,19.72560962581878,3.84174519981217
19.0,176.77157534246575,138.43933669761668,68.32260273972604,135.33593675007515,20.34394847300596,3.785552884759033
20.0,176.11045606229143,136.56721279254916,73.04816462736375,150.42038088282789,20.20287720892841,3.692701119553842
21.0,179.6437925170068,145.88384045573792,78.8937925170068,163.8919164978836,20.346142871015406,3.995195200992101
22.0,174.00738798856054,129.14161293870845,72.71039084842707,145.09443542060325,20.666257705954436,3.759046151962444
23.0,187.02879377431907,163.6093257223341,87.80120622568094,183.68190473690555,20.769169550136986,8.50041268356605
24.0,180.0971352431712,145.82732419644003,79.28287808127915,159.2440542386883,21.22843950624108,4.083652004954812
25.0,177.41514135122185,137.907358804833,78.33423574508863,154.65942376287902,21.45307994717775,4.571980506356419
26.0,181.45100965759437,148.6352211993398,83.39795141937371,165.81634830687082,21.67077346530346,4.663734002255299
27.0,185.7215919215919,158.5822816694761,89.25934065934067,177.5529284009703,22.143446726719894,4.684187594226845
28.0,172.77998331943286,122.43319312760454,75.29674728940785,137.10181845625164,22.415997078159243,4.532295020335075
29.0,180.22308956450289,144.21343199324184,84.12576006573542,160.22815819230993,22.7771815494903,4.918166583522723
30.0,179.04876269035532,141.61863322149196,82.41716370558376,156.70138931934315,22.56520312136937,4.78109590965998
31.0,183.50930668332293,152.6058176138168,88.8211742660837,170.49992425253518,23.147780723057306,4.803033423930909
32.0,186.88876978050024,161.1477656890903,92.16294027565085,178.85160692034557,23.135758279542358,4.941589006368708
33.0,188.02857142857144,163.40055578060642,93.73746031746032,180.64034262900822,23.23788616132327,5.187547169393372
34.0,176.21928044280443,131.78391385559036,81.76983394833948,147.17638303272275,23.366149905290655,4.9277799017232935
35.0,188.2524914089347,164.71325145369946,93.42465635738832,179.9936194588118,23.513113474226007,5.331482196430593
36.0,173.70251107828656,124.54053037747552,77.33500738552438,134.52008461995996,23.071322385780164,4.977859912677034
37.0,187.42007952286284,161.1661356528367,91.48270377733598,170.35166591122848,24.007846236435565,5.472089746960082
38.0,193.48804347826086,176.56110796502412,101.44260869565217,196.9657679296057,23.544844125230362,5.419708692681368
39.0,188.896484375,163.84597007299428,97.20703125,182.68512895833777,24.162951054369053,5.5803788275494135
40.0,175.101652892562,131.8385243841095,82.92561983471074,147.11028354086304,23.746357013538162,6.482900467358988
41.0,229.42,241.91594101434066,144.64777777777778,268.75367788558486,24.772458775918352,6.4268136277844805
42.0,169.08434782608697,111.07763255766119,73.68347826086956,124.23110674276558,23.03436483525123,5.562543573174303
43.0,153.83698630136988,6.923821737894697,58.46438356164383,11.41457851783087,23.406668635399605,4.632711924309678
44.0,168.49454545454546,114.49081221132148,72.53999999999999,127.90618176356189,23.02627972073978,6.348463274863751
45.0,154.80535714285716,7.921419056591428,52.278571428571425,9.301177135389699,22.507912855939882,3.4278033967050794
46.0,153.74347826086955,5.310694706050196,55.41304347826087,8.921796820037077,23.138256847062333,3.358899655112869
47.0,155.1625,7.902056694304337,59.25,11.114854924829201,23.153520063037213,4.146683996871065
48.0,231.1,248.7643769475349,143.97272727272727,277.06200643764817,23.702348082515023,5.554389976028681
49.0,153.075,4.4416052439244496,59.8,9.530402479883602,24.24244464275283,4.443950052389685
